ID,critical_distance,direction,bearing
589,12, buffer,999
590,12, buffer,999
591,12, buffer,999
592,12, buffer,999
593,12, buffer,999
594,12, buffer,999
595,12, buffer,999
596,12, buffer,999
597,12, buffer,999
598,12, buffer,999
599,12, buffer,999
600,12, buffer,999
601,12, buffer,999
602,12, buffer,999
603,12, buffer,999
604,12, buffer,999
605,12, buffer,999
606,12, buffer,999
607,12, buffer,999
608,12, buffer,999
609,12, buffer,999
610,12, buffer,999
611,12, buffer,999
612,12, buffer,999
613,12, buffer,999
614,12, buffer,999
615,12, buffer,999
616,12, buffer,999
617,12, buffer,999
618,12, buffer,999
619,12, buffer,999
620,12, buffer,999
621,12, buffer,999
622,12, buffer,999
623,12, buffer,999
624,12, buffer,999
625,12, buffer,999
626,12, buffer,999
627,12, buffer,999
628,12, buffer,999
629,12, buffer,999
630,12, buffer,999
631,12, buffer,999
632,12, buffer,999
633,12, buffer,999
634,12, buffer,999
635,12, buffer,999
636,12, buffer,999
637,12, buffer,999
638,12, buffer,999
639,12, buffer,999
640,12, buffer,999
641,12, buffer,999
642,12, buffer,999
643,12, buffer,999
644,12, buffer,999
645,12, buffer,999
646,12, buffer,999
647,12, buffer,999
648,12, buffer,999
649,12, buffer,999
650,12, buffer,999
651,12, buffer,999
652,12, buffer,999
653,12, buffer,999
654,12, buffer,999
655,12, buffer,999
656,12, buffer,999
657,12, buffer,999
658,12, buffer,999
659,12, buffer,999
660,12, buffer,999
661,12, buffer,999
662,12, buffer,999
663,12, buffer,999
664,12, buffer,999
665,12, buffer,999
666,12, buffer,999
667,12, buffer,999
668,12, buffer,999
669,12, buffer,999
670,12, buffer,999
671,12, buffer,999
672,12, buffer,999
673,12, buffer,999
674,12, buffer,999
675,12, buffer,999
676,12, buffer,999
677,12, buffer,999
678,12, buffer,999
679,12, buffer,999
680,12, buffer,999
681,12, buffer,999
682,12, buffer,999
683,12, buffer,999
684,12, buffer,999
685,12, buffer,999
686,12, buffer,999
687,12, buffer,999
688,12, buffer,999
689,12, buffer,999
690,12, buffer,999
691,12, buffer,999
692,12, buffer,999
693,12, buffer,999
694,12, buffer,999
695,12, buffer,999
696,12, buffer,999
697,12, buffer,999
698,12, buffer,999
699,12, buffer,999
700,12, buffer,999
701,12, buffer,999
702,12, buffer,999
703,12, buffer,999
704,12, buffer,999
705,12, buffer,999
706,12, buffer,999
707,12, buffer,999
708,12, buffer,999
709,12, buffer,999
710,12, buffer,999
711,12, buffer,999
712,12, buffer,999
713,12, buffer,999
714,12, buffer,999
715,12, buffer,999
716,12, buffer,999
717,12, buffer,999
718,12, buffer,999
719,12, buffer,999
720,12, buffer,999
721,12, buffer,999
722,12, buffer,999
723,12, buffer,999
724,12, buffer,999
725,12, buffer,999
726,12, buffer,999
727,12, buffer,999
728,12, buffer,999
729,12, buffer,999
730,12, buffer,999
731,12, buffer,999
732,12, buffer,999
733,12, buffer,999
734,12, buffer,999
735,12, buffer,999
736,12, buffer,999
737,12, buffer,999
738,12, buffer,999
739,12, buffer,999
740,12, buffer,999
741,12, buffer,999
742,12, buffer,999
743,12, buffer,999
744,12, buffer,999
745,12, buffer,999
746,12, buffer,999
747,12, buffer,999
748,12, buffer,999
749,12, buffer,999
750,12, buffer,999
751,12, buffer,999
752,12, buffer,999
753,12, buffer,999
754,12, buffer,999
755,12, buffer,999
756,12, buffer,999
757,12, buffer,999
758,12, buffer,999
759,12, buffer,999
760,12, buffer,999
761,12, buffer,999
762,12, buffer,999
763,12, buffer,999
764,12, buffer,999
765,12, buffer,999
766,12, buffer,999
767,12, buffer,999
768,12, buffer,999
769,12, buffer,999
770,12, buffer,999
771,12, buffer,999
772,12, buffer,999
773,12, buffer,999
774,12, buffer,999
775,12, buffer,999
776,12, buffer,999
777,12, buffer,999
778,12, buffer,999
779,12, buffer,999
780,12, buffer,999
781,12, buffer,999
782,12, buffer,999
783,12, buffer,999
784,12, buffer,999
785,12, buffer,999
786,12, buffer,999
787,12, buffer,999
788,12, buffer,999
789,12, buffer,999
790,12, buffer,999
791,12, buffer,999
792,12, buffer,999
793,12, buffer,999
794,12, buffer,999
795,12, buffer,999
796,12, buffer,999
797,12, buffer,999
798,12, buffer,999
799,12, buffer,999
800,12, buffer,999
801,12, buffer,999
802,12, buffer,999
803,12, buffer,999
804,12, buffer,999
805,12, buffer,999
806,12, buffer,999
807,12, buffer,999
808,12, buffer,999
809,12, buffer,999
810,12, buffer,999
811,12, buffer,999
812,12, buffer,999
813,12, buffer,999
814,12, buffer,999
815,12, buffer,999
816,12, buffer,999
817,12, buffer,999
818,12, buffer,999
819,12, buffer,999
820,12, buffer,999
821,12, buffer,999
822,12, buffer,999
823,12, buffer,999
824,12, buffer,999
825,12, buffer,999
826,12, buffer,999
827,12, buffer,999
828,12, buffer,999
829,12, buffer,999
830,12, buffer,999
831,12, buffer,999
832,12, buffer,999
833,12, buffer,999
834,12, buffer,999
835,12, buffer,999
836,12, buffer,999
837,12, buffer,999
838,12, buffer,999
839,12, buffer,999
840,12, buffer,999
841,12, buffer,999
842,12, buffer,999
843,12, buffer,999
844,12, buffer,999
845,12, buffer,999
846,12, buffer,999
847,12, buffer,999
848,12, buffer,999
849,12, buffer,999
850,12, buffer,999
851,12, buffer,999
852,12, buffer,999
853,12, buffer,999
854,12, buffer,999
855,12, buffer,999
856,12, buffer,999
857,12, buffer,999
858,12, buffer,999
859,12, buffer,999
860,12, buffer,999
861,12, buffer,999
862,12, buffer,999
863,12, buffer,999
864,12, buffer,999
865,12, buffer,999
866,12, buffer,999
867,12, buffer,999
868,12, buffer,999
869,12, buffer,999
870,12, buffer,999
871,12, buffer,999
872,12, buffer,999
873,12, buffer,999
874,12, buffer,999
875,12, buffer,999
876,12, buffer,999
877,12, buffer,999
878,12, buffer,999
879,12, buffer,999
880,12, buffer,999
881,12, buffer,999
882,12, buffer,999
883,12, buffer,999
884,12, buffer,999
885,12, buffer,999
886,12, buffer,999
887,12, buffer,999
888,12, buffer,999
889,12, buffer,999
890,12, buffer,999
891,12, buffer,999
892,12, buffer,999
893,12, buffer,999
894,12, buffer,999
895,12, buffer,999
896,12, buffer,999
897,12, buffer,999
898,12, buffer,999
899,12, buffer,999
900,12, buffer,999
901,12, buffer,999
902,12, buffer,999
903,12, buffer,999
904,12, buffer,999
905,12, buffer,999
906,12, buffer,999
907,12, buffer,999
908,12, buffer,999
909,12, buffer,999
910,12, buffer,999
911,12, buffer,999
912,12, buffer,999
913,12, buffer,999
914,12, buffer,999
915,12, buffer,999
916,12, buffer,999
917,12, buffer,999
918,12, buffer,999
919,12, buffer,999
920,12, buffer,999
921,12, buffer,999
922,12, buffer,999
923,12, buffer,999
924,12, buffer,999
925,12, buffer,999
926,12, buffer,999
927,12, buffer,999
928,12, buffer,999
929,12, buffer,999
930,12, buffer,999
931,12, buffer,999
932,12, buffer,999
933,12, buffer,999
934,12, buffer,999
935,12, buffer,999
936,12, buffer,999
937,12, buffer,999
938,12, buffer,999
939,12, buffer,999
940,12, buffer,999
941,12, buffer,999
942,12, buffer,999
943,12, buffer,999
944,12, buffer,999
945,12, buffer,999
946,12, buffer,999
947,12, buffer,999
948,12, buffer,999
949,12, buffer,999
950,12, buffer,999
951,12, buffer,999
952,12, buffer,999
953,12, buffer,999
954,12, buffer,999
955,12, buffer,999
956,12, buffer,999
957,12, buffer,999
958,12, buffer,999
959,12, buffer,999
960,12, buffer,999
961,12, buffer,999
962,12, buffer,999
963,12, buffer,999
964,12, buffer,999
965,12, buffer,999
966,12, buffer,999
967,12, buffer,999
968,12, buffer,999
969,12, buffer,999
970,12, buffer,999
971,12, buffer,999
972,12, buffer,999
973,12, buffer,999
974,12, buffer,999
975,12, buffer,999
976,12, buffer,999
977,12, buffer,999
978,12, buffer,999
979,12, buffer,999
980,12, buffer,999
981,12, buffer,999
982,12, buffer,999
983,12, buffer,999
984,12, buffer,999
985,12, buffer,999
986,12, buffer,999
987,12, buffer,999
988,12, buffer,999
1424,13, buffer,999
1425,13, buffer,999
1426,13, buffer,999
1427,13, buffer,999
1428,13, buffer,999
1429,13, buffer,999
1430,13, buffer,999
1431,13, buffer,999
1432,13, buffer,999
1433,13, buffer,999
1434,13, buffer,999
1435,13, buffer,999
1436,13, buffer,999
1437,13, buffer,999
1438,13, buffer,999
1439,13, buffer,999
